inc_day,all_fee_rmb
2017-01-29,1202.41402704
2017-01-30,1532.93849973
2017-01-31,1803.60995232
2017-02-01,2308.1512302
2017-02-02,1868.04935031
2017-02-03,1481.84976399
2017-02-04,1572.7209609
2017-02-05,1293.10761937
2017-02-06,1357.29220395
2017-02-07,1359.48704601
2017-02-08,1359.07769852
2017-02-09,1374.19532451
2017-02-10,1468.63668167
2017-02-11,1181.42338503
2017-02-12,1227.89644922
2017-02-13,1415.13681677
2017-02-14,1414.41942512
2017-02-15,1373.77253723
2017-02-16,1366.93641604
2017-02-17,1431.50687438
2017-02-18,1143.57476354
2017-02-19,1054.64752899
2017-02-20,1375.14425669
2017-02-21,1392.65626142
2017-02-22,1368.86156922
2017-02-23,1339.56415669
2017-02-24,1401.62490508
2017-02-25,1116.20452462
2017-02-26,1011.18898315
2017-02-27,1315.70417775
2017-02-28,1336.08142022
2017-03-01,1306.072435
2017-03-02,1272.72964175
2017-03-03,1342.01485533
2017-03-04,1032.66496696
2017-03-05,934.04895651
2017-03-06,1397.57151561
2017-03-07,1410.15139816
2017-03-08,1376.38751939
2017-03-09,1331.38507002
2017-03-10,1338.46694
2017-03-11,1055.7833553
2017-03-12,962.901611566
2017-03-13,1219.21335008
2017-03-14,1231.25645946
2017-03-15,1233.0510375
2017-03-16,1202.00670674
2017-03-17,1290.37853817
2017-03-18,1018.71501999
2017-03-19,926.278935355
2017-03-20,1177.1737257
2017-03-21,1294.87270075
2017-03-22,1240.78868575
2017-03-23,1205.50423332
2017-03-24,1268.74599373
2017-03-25,1017.20110423
2017-03-26,909.190173949
2017-03-27,1157.80805919
2017-03-28,1211.07863547
2017-03-29,1215.73969813
2017-03-30,1209.2288213
2017-03-31,1232.53772611
2017-04-01,1129.07304938
2017-04-02,895.502633187
2017-04-03,872.087502936
2017-04-04,862.972542182
2017-04-05,1122.16600984
2017-04-06,1162.00259824
2017-04-07,1209.1034165
2017-04-08,1003.86473825
2017-04-09,862.687256526
2017-04-10,1112.2494079
2017-04-11,1155.97172097
2017-04-12,1133.83411333
2017-04-13,1125.97559071
2017-04-14,1188.70808299
2017-04-15,966.242251348
2017-04-16,872.925807456
2017-04-17,1104.86888878
2017-04-18,1155.22097782
2017-04-19,1130.28941878
2017-04-20,1120.81957429
2017-04-21,1153.07948614
2017-04-22,947.993501777
2017-04-23,858.969076931
2017-04-24,1166.1758556
2017-04-25,1254.85450093
2017-04-26,1283.53287634
2017-04-27,1249.00480923
2017-04-28,1274.99514948
2017-04-29,1121.00039727
2017-04-30,1052.58815227
2017-05-01,1010.47042657
2017-05-02,1185.13154028
2017-05-03,1197.22036685
2017-05-04,1191.64744293
2017-05-05,1237.61670619
2017-05-06,1053.10718287
2017-05-07,932.931990577
2017-05-08,1148.9365872
2017-05-09,1186.78626672
2017-05-10,1200.58450048
2017-05-11,1180.30331415
2017-05-12,1241.05497869
2017-05-13,1083.58653135
2017-05-14,967.366803002
2017-05-15,1161.33380359
2017-05-16,1206.23181812
2017-05-17,1219.28229204
2017-05-18,1213.97413685
2017-05-19,1259.13120818
2017-05-20,1163.62981579
2017-05-21,1089.208175
2017-05-22,1208.61285365
2017-05-23,1241.08545416
2017-05-24,1461.03648086
2017-05-25,1249.33360164
2017-05-26,1232.62865018
2017-05-27,1137.57340368
2017-05-28,942.02538386
2017-05-29,1652.53884827
2017-05-30,1076.39689969
2017-05-31,1157.60158814
2017-06-01,1189.22228656
2017-06-02,1177.44569222
2017-06-03,1624.40818343
2017-06-04,1051.26982797
2017-06-05,1155.74445263
2017-06-06,1270.90275668
2017-06-07,1220.86721117
2017-06-08,1462.4616557
2017-06-09,1209.5573531
2017-06-10,1105.1232295
2017-06-11,1046.38215205
2017-06-12,1423.10335773
2017-06-13,1142.92351102
2017-06-14,1106.21765884
2017-06-15,1311.88220806
2017-06-16,1131.46753438
2017-06-17,981.365855613
2017-06-18,2665.62693096
2017-06-19,1751.85481843
2017-06-20,1539.61037377
2017-06-21,1444.27984972
2017-06-22,1492.27222463
2017-06-23,1203.99271863
2017-06-24,1028.66338196
2017-06-25,958.929820569
2017-06-26,1068.20363213
2017-06-27,1128.18911775
2017-06-28,1621.32604831
2017-06-29,1252.16157971
2017-06-30,1151.07147062
2017-07-01,984.069994426
2017-07-02,1441.81021033
2017-07-03,1037.56250325
2017-07-04,1085.25496922
2017-07-05,1082.64156176
2017-07-06,1046.67586239
2017-07-07,1091.50894545
2017-07-08,976.163766133
2017-07-09,908.259127357
2017-07-10,1036.46791894
2017-07-11,1072.07005091
2017-07-12,1068.60591553
2017-07-13,1054.04602604
2017-07-14,1090.25651079
2017-07-15,962.915359546
2017-07-16,941.634347867
2017-07-17,1057.83456181
2017-07-18,1095.06685437
2017-07-19,1082.07540644
2017-07-20,1055.3306364
2017-07-21,1086.15593301
2017-07-22,970.477880377
2017-07-23,912.544730767
2017-07-24,1025.38998411
2017-07-25,1059.38794604
2017-07-26,1046.10367081
2017-07-27,1054.60569714
2017-07-28,1081.88689802
2017-07-29,972.617595632
2017-07-30,890.57033199
2017-07-31,1011.5244235
